"","loc","publication_date","title","keywords","image_loc"
"38","https://www.20min.ch/story/betrugsprozess-in-new-york-sagt-heute-donald-trump-vor-gericht-aus-888284873649","2023-11-06T04:31:18+01:00","Betrugsprozess in New York: Sagt heute Ex-Präsident Donald Trump vor Gericht aus?",NA,"https://cdn.unitycms.io/images/8OEdsEEJaQ08ixAF0VfB2O.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=MzRqNlAl6tU"
"39","https://www.20min.ch/story/wetter-schweiz-orkan-ciaran-swiss-duesseldorf-773827943300","2023-11-06T03:56:20+01:00","Die Sturmböen flachen ab, die Sonne übernimmt",NA,"https://cdn.unitycms.io/images/76I8LCVU4bh9CLaSVuTXbV.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=WpzMRvpJVww"
"40","https://www.20min.ch/story/bern-frontalkollision-auf-der-a6-polizei-und-rega-im-einsatz-840194467807","2023-11-05T22:37:54+01:00","Bern: Frontalkollision auf der A6 – Polizei und Rega im Einsatz",NA,"https://cdn.unitycms.io/images/23mYairVavL9Ja5-0wcdTr.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=su1zrXHoK3Y"
"41","https://www.20min.ch/story/premier-league-akanji-trifft-bei-sieg-von-manchester-city-143273245706","2023-11-05T22:12:36+01:00","Premier League: Diaz trifft nach Entführung der Eltern",NA,"https://cdn.unitycms.io/images/EmRp46DWKmhASlTZItFr8a.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=wF7Wuko3Lr0"
"42","https://www.20min.ch/story/formel-1-live-setzt-verstappen-seine-gala-saison-in-brasilien-fort-333753394553","2023-11-05T22:01:06+01:00","Formel 1 live: Setzt Verstappen seine Gala-Saison in Brasilien fort?",NA,"https://cdn.unitycms.io/images/4k_SXfr8Kz9AaZFH6Xc5tv.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ZttVHxdQ2xM"
"43","https://www.20min.ch/story/rtl-interview-oliver-pocher-wirft-amira-betrug-vor-989516665247","2023-11-05T21:48:09+01:00","RTL-Interview: Oliver Pocher wirft Amira Betrug vor",NA,"https://cdn.unitycms.io/images/6XkVSFssagVBrD80NWNEJx.jpg?op=ocroped&val=1200,1200,909,912,41,84&sum=8taRdRDAzIg"
"44","https://www.20min.ch/story/spektakulaere-polarlichter-ueber-der-schweiz-zu-sehen-168036390168","2023-11-05T20:47:34+01:00","Spektakuläre Polarlichter über der Schweiz zu sehen",NA,"https://cdn.unitycms.io/images/1snXGLml4UBBvIyfPU-y6a.jpg?op=ocroped&val=1200,1200,924,792,91,23&sum=3qEyDG1BQyo"
"45","https://www.20min.ch/story/super-league-basel-gewinnt-gegen-yverdon-239142423991","2023-11-05T20:35:12+01:00","Super League: Basel gewinnt gegen Yverdon",NA,"https://cdn.unitycms.io/images/95ULs9RQKcj9PE15lzTGIp.jpg?op=ocroped&val=1200,1200,798,945,37,202&sum=RQxjd5glBug"
"46","https://www.20min.ch/story/pruegelnder-kadyrow-sohn-wird-leibwaechter-seines-vaters-991580968781","2023-11-05T20:16:07+01:00","Prügelnder Kadyrow-Sohn wird Leibwächter seines Vaters",NA,"https://cdn.unitycms.io/images/28-7RneKKp68YbdNTNNY5k.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=EzqEwXXqyAg"
"47","https://www.20min.ch/story/cuxhaven-ursula-b-aus-fribourg-mutmasslich-getoetet-728995954855","2023-11-05T20:15:30+01:00","Cuxhaven: Ursula B. aus Fribourg mutmasslich  getötet",NA,"https://cdn.unitycms.io/images/7R314Aua4OX8TTj0FQROLL.jpg?op=ocroped&val=1200,1200,1000,585,126,0&sum=6DWeEcfo15c"
"48","https://www.20min.ch/story/super-league-luzern-gewinnt-gegen-gc-2-zu-0-357365862900","2023-11-05T19:56:35+01:00","Super League: Luzern schlägt GC 2:0",NA,"https://cdn.unitycms.io/images/1Z1TkNVG4WMA-fqvArE3Lu.jpg?op=ocroped&val=1200,1200,904,989,0,46&sum=qwF7eMuGZI8"
"49","https://www.20min.ch/story/wynecenter-neue-parkgebuehr-bei-migros-supermarkt-sorgt-fuer-aerger-149043301728","2023-11-05T19:07:05+01:00","Wynecenter: Neue Parkgebühr bei Migros-Supermarkt sorgt für Ärger.",NA,"https://cdn.unitycms.io/images/7QLXsXNd4TeACzIAe1Eg23.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=0eEAu2zyTGg"
