Ville,Canton,Population,Population,Emplois,Emplois,Nuitées,Nuitées,Coordinates,Latitude,Longitude
Neuhausen am Rheinfall,Schaffhouse,144,"+0010 467,",143,"+0005 581,",105,"+0005 670,","(47.682077, 8.612612)",47.682077,8.612612
Aigle,Vaud,145,"+0010 462,",128,"+0006 305,",–,–,"(46.317669, 6.970125)",46.317669,6.970125
Birsfelden,Bâle-Campagne,146,"+0010 396,",157,"+0004 441,",–,–,"(47.550784, 7.636283)",47.550784,7.636283
Sursee,Lucerne,147,"+0010 361,",55,"+0013 853,",66,"+0020 765,","(47.175697, 8.10871)",47.175697,8.10871
Aesch,Bâle-Campagne,148,"+0010 314,",141,"+0005 669,",–,–,"(47.47104, 7.5973)",47.47104,7.5973
Münchenbuchsee,Berne,149,"+0010 233,",146,"+0005 237,",–,–,"(47.022114, 7.451819)",47.022114,7.451819
Steinhausen,Zoug,150,"+0010 198,",93,"+0009 170,",–,–,"(47.195526, 8.478206)",47.195526,8.478206
Payerne,Vaud,151,"+0010 069,",119,"+0006 972,",–,–,"(46.820755, 6.938857)	46.820755	6.938857",,
Urdorf,Zurich,152,"+0010 019,",109,"+0007 322,",–,–,"(47.370339, 8.425088)",47.370339,8.425088
Rorschach,Saint-Gall,153,"+0009 646,",–,–,–,–,,,
Bussigny,Vaud,154,"+0009 603,",133,"+0006 175,",41,"+0045 461,",,,
Altdorf,Uri,155,"+0009 565,",124,"+0006 788,",82,"+0014 787,",,,
Arlesheim,Bâle-Campagne,156,"+0009 217,",134,"+0006 114,",–,–,,,
Zuchwil,Soleure,157,"+0009 058,",–,–,94,"+0011 705,",,,
Crissier,Vaud,158,"+0008 727,",92,"+0009 650,",53,"+0030 482,",,,
Morat,Fribourg,159,"+0008 244,",153,"+0004 824,",49,"+0032 461,",,,
Stans,Nidwald,160,"+0008 171,",83,"+0010 194,",85,"+0013 621,",,,
Viège,Valais,161,"+0008 060,",81,"+0010 653,",51,"+0031 917,",,,
Chiasso,Tessin,162,"+0007 581,",79,"+0010 771,",80,"+0015 411,",,,
Moutier,Berne,163,"+0007 348,",165,"+0003 529,",112,"+0002 231,",,,
Porrentruy,Jura,164,"+0006 434,",123,"+0006 791,",95,"+0011 365,",,,
Zermatt,Valais,165,"+0005 820,",111,"+0007 178,",2,"+0997 094,",,,
Appenzell,Appenzell Rhodes-Intérieures,166,"+0005 793,",154,"+0004 665,",31,"+0051 702,",,,
Interlaken,Berne,167,"+0005 719,",107,"+0007 354,",12,"+0309 615,",,,
Saint-Moritz,Grisons,168,"+0004 945,",108,"+0007 354,",5,"+0574 003,",,,
La Neuveville,Berne,169,"+0003 780,",167,"+0001 545,",–,–,,,
Arosa,Grisons,170,"+0003 162,",166,"+0003 036,",9,"+0369 506,",,,
